q000	unsat
q001	unsat
q002	unsat
q003	unsat
q004	unsat
q005	unsat
q006	unsat
q007	unsat
q008	unsat
q009	unsat
q010	unsat
q011	unsat
q012	unsat
q013	unsat
q014	unsat
q015	unsat
q016	unsat
q017	unsat
q018	unsat
q019	unsat
q020	unsat
q021	unsat
q022	unsat
q023	unsat
q024	unsat
q025	unsat
q026	unsat
q027	unsat
q028	unsat
q029	unsat
q030	unsat
q031	unsat
q032	unsat
q033	unsat
q034	unknown
q035	unsat
q036	unsat
q037	unsat
q038	unsat
q039	unknown
q040	unsat
q041	unknown
q042	unsat
q043	unsat
q044	unsat
q045	unsat
q046	unsat
q047	unknown
q048	unsat
q049	unsat
q050	unsat
q051	unsat
q052	unsat
q053	unsat
q054	unsat
q055	unsat
q056	unsat
q057	unsat
q058	unsat
q059	unsat
q060	unknown
q061	unsat
q062	unsat
q063	unsat
q064	unsat
q065	unsat
q066	unsat
q067	unsat
q068	unsat
q069	unsat
q070	unsat
q071	unsat
q072	unsat
q073	unsat
q074	unsat
q075	unsat
q076	unsat
q077	unsat
q078	unsat
q079	unsat
q080	unsat
q081	unsat
q082	unsat
q083	unsat
q084	unsat
q085	unsat
q086	unsat
